id	DSS	day	bwc	vwr
SvBi140	2	3	101	93.3
SvBi140	2	4	103.4	66.4
SvBi140	2	5	98.1	21.3
SvBi140	2	6	85.1	19.9
SvBi140	2	7	86.1	11.9
SvBi140	2	8	84.6	13
SvBi140	2	9	88.9	29.2
SvBi140	2	10	94.2	32.6
SvBi140	2	11	100.5	42.9
SvBi140	2	12	101.4	58.6
SvBi140	2	13	104.8	66.3
SvBi141	2	0	100	70.3
SvBi141	2	1	97.7	80.4
SvBi141	2	2	100	90.8
SvBi141	2	3	101.4	83.1
SvBi141	2	4	101.4	65.8
SvBi141	2	5	96.7	31.2
SvBi141	2	6	95.3	31.3
SvBi141	2	7	92.5	16.9
SvBi141	2	8	94.4	23.5
SvBi141	2	9	96.7	30.9
SvBi141	2	10	100	38
SvBi141	2	11	102.8	62.4
SvBi141	2	12	101.9	64.7
SvBi141	2	13	101.9	82.7
SvBi142	2	0	100	63.7
SvBi142	2	1	95.2	57.8
SvBi142	2	2	99.5	63.7
SvBi142	2	3	101	61.1
SvBi142	2	4	100	60.4
SvBi142	2	5	99.5	66.4
SvBi142	2	6	95.7	63.2
SvBi142	2	7	93.3	68.4
SvBi142	2	8	94.2	62.1
SvBi142	2	9	97.6	61.2
SvBi142	2	10	99	62.6
SvBi142	2	11	99.5	73.5
SvBi142	2	12	101	81.8
SvBi142	2	13	100.5	78.2
SvBi159	2	0	100	92
SvBi159	2	1	96.9	91.1
SvBi159	2	2	94.3	77.3
SvBi159	2	3	94.7	77.3
SvBi159	2	4	93.9	55.5
SvBi159	2	5	90.4	22.4
SvBi159	2	6	88.6	18.5
SvBi159	2	7	84.2	9.5
SvBi159	2	8	86.8	8.9
SvBi159	2	9	88.6	17.1
SvBi159	2	10	91.7	31
SvBi159	2	11	94.7	37.1
SvBi159	2	12	95.2	50.6
SvBi159	2	13	99.1	80.6
SvBi161	2	0	100	102.5
SvBi161	2	1	101	98.8
SvBi161	2	2	99.5	94
SvBi161	2	3	102.6	94
SvBi161	2	4	101.5	50.4
SvBi161	2	5	97.4	27.9
SvBi161	2	6	91.3	14.7
SvBi161	2	7	88.7	16
SvBi161	2	8	82.6	1.7
SvBi162	2	0	100	92.3
SvBi162	2	1	99.5	110.1
SvBi162	2	2	100.9	76.4
SvBi162	2	3	100	76.4
SvBi162	2	4	100.9	66.9
SvBi162	2	5	98.1	45.8
SvBi162	2	6	91.7	27.8
SvBi162	2	7	91.2	16.5
SvBi162	2	8	87	29.1
SvBi162	2	9	90.3	46.8
SvBi162	2	10	97.7	77.6
SvBi162	2	11	98.6	89.4
SvBi162	2	12	100	109.4
SvBi162	2	13	102.8	88.7
SvBi090	2	0	100	102.4
SvBi090	2	1	99.5	110.3
SvBi090	2	2	101	103.4
SvBi090	2	3	101.5	104.9
SvBi090	2	4	101.5	77.1
SvBi090	2	5	95.9	41.3
SvBi090	2	6	85.1	7.9
SvBi032	1	0	100	105.4
SvBi032	1	1	98.3	99.9
SvBi032	1	2	98.3	100.2
SvBi032	1	3	101.7	115.8
SvBi032	1	4	98.9	116.5
SvBi032	1	5	96	72.8
SvBi032	1	6	85.3	93.4
SvBi032	1	7	81.4	92.1
SvBi038	1	0	100	89.3
SvBi038	1	1	98.6	93.3
